,depot_id,depot_coord
0,251,POINT Z (13.468645913534543 52.54389811509679 53)
1,252,POINT Z (13.436389038209798 52.45268010690611 43)
2,253,POINT Z (13.499401928006067 52.52006503312157 52)
3,254,POINT Z (13.302894796048465 52.49247791453954 38)
4,255,POINT Z (13.33788057484551 52.56063792764042 41)
5,256,POINT Z (13.182917447485504 52.5169083088013 33)
