rotation_id,vehicle_type_id,assignment
93206,82,0
93206,83,0
93206,84,1
93206,85,0
93206,86,0
93206,87,0
93206,88,0
93206,89,0
93206,90,0
93206,91,0
90539,82,0
90539,83,0
90539,84,1
90539,85,0
90539,86,0
90539,87,0
90539,88,0
90539,89,0
90539,90,0
90539,91,0
94800,82,0
94800,83,0
94800,84,1
94800,85,0
94800,86,0
94800,87,0
94800,88,0
94800,89,0
94800,90,0
94800,91,0
90459,82,0
90459,83,0
90459,84,1
90459,85,0
90459,86,0
90459,87,0
90459,88,0
90459,89,0
90459,90,0
90459,91,0
89201,82,0
89201,83,0
89201,84,1
89201,85,0
89201,86,0
89201,87,0
89201,88,0
89201,89,0
89201,90,0
89201,91,0
94052,82,0
94052,83,0
94052,84,1
94052,85,0
94052,86,0
94052,87,0
94052,88,0
94052,89,0
94052,90,0
94052,91,0
91471,82,0
91471,83,0
91471,84,1
91471,85,0
91471,86,0
91471,87,0
91471,88,0
91471,89,0
91471,90,0
91471,91,0
94847,82,0
94847,83,0
94847,84,1
94847,85,0
94847,86,0
94847,87,0
94847,88,0
94847,89,0
94847,90,0
94847,91,0
89045,82,0
89045,83,0
89045,84,1
89045,85,0
89045,86,0
89045,87,0
89045,88,0
89045,89,0
89045,90,0
89045,91,0
96547,82,0
96547,83,0
96547,84,1
96547,85,0
96547,86,0
96547,87,0
96547,88,0
96547,89,0
96547,90,0
96547,91,0
92383,82,0
92383,83,0
92383,84,1
92383,85,0
92383,86,0
92383,87,0
92383,88,0
92383,89,0
92383,90,0
92383,91,0
98862,82,0
98862,83,0
98862,84,1
98862,85,0
98862,86,0
98862,87,0
98862,88,0
98862,89,0
98862,90,0
98862,91,0
96388,82,0
96388,83,0
96388,84,1
96388,85,0
96388,86,0
96388,87,0
96388,88,0
96388,89,0
96388,90,0
96388,91,0
93864,82,0
93864,83,0
93864,84,1
93864,85,0
93864,86,0
93864,87,0
93864,88,0
93864,89,0
93864,90,0
93864,91,0
92034,82,0
92034,83,0
92034,84,1
92034,85,0
92034,86,0
92034,87,0
92034,88,0
92034,89,0
92034,90,0
92034,91,0
96074,82,0
96074,83,0
96074,84,1
96074,85,0
96074,86,0
96074,87,0
96074,88,0
96074,89,0
96074,90,0
96074,91,0
98311,82,0
98311,83,0
98311,84,1
98311,85,0
98311,86,0
98311,87,0
98311,88,0
98311,89,0
98311,90,0
98311,91,0
97507,82,0
97507,83,0
97507,84,1
97507,85,0
97507,86,0
97507,87,0
97507,88,0
97507,89,0
97507,90,0
97507,91,0
91489,82,0
91489,83,0
91489,84,1
91489,85,0
91489,86,0
91489,87,0
91489,88,0
91489,89,0
91489,90,0
91489,91,0
95267,82,0
95267,83,0
95267,84,1
95267,85,0
95267,86,0
95267,87,0
95267,88,0
95267,89,0
95267,90,0
95267,91,0
91836,82,0
91836,83,0
91836,84,1
91836,85,0
91836,86,0
91836,87,0
91836,88,0
91836,89,0
91836,90,0
91836,91,0
93198,82,0
93198,83,0
93198,84,1
93198,85,0
93198,86,0
93198,87,0
93198,88,0
93198,89,0
93198,90,0
93198,91,0
96944,82,0
96944,83,0
96944,84,1
96944,85,0
96944,86,0
96944,87,0
96944,88,0
96944,89,0
96944,90,0
96944,91,0
97392,82,0
97392,83,0
97392,84,1
97392,85,0
97392,86,0
97392,87,0
97392,88,0
97392,89,0
97392,90,0
97392,91,0
96158,82,0
96158,83,0
96158,84,1
96158,85,0
96158,86,0
96158,87,0
96158,88,0
96158,89,0
96158,90,0
96158,91,0
98873,82,0
98873,83,0
98873,84,1
98873,85,0
98873,86,0
98873,87,0
98873,88,0
98873,89,0
98873,90,0
98873,91,0
97878,82,0
97878,83,0
97878,84,1
97878,85,0
97878,86,0
97878,87,0
97878,88,0
97878,89,0
97878,90,0
97878,91,0
94048,82,0
94048,83,0
94048,84,1
94048,85,0
94048,86,0
94048,87,0
94048,88,0
94048,89,0
94048,90,0
94048,91,0
98485,82,0
98485,83,0
98485,84,1
98485,85,0
98485,86,0
98485,87,0
98485,88,0
98485,89,0
98485,90,0
98485,91,0
95900,82,0
95900,83,0
95900,84,1
95900,85,0
95900,86,0
95900,87,0
95900,88,0
95900,89,0
95900,90,0
95900,91,0
96914,82,0
96914,83,0
96914,84,1
96914,85,0
96914,86,0
96914,87,0
96914,88,0
96914,89,0
96914,90,0
96914,91,0
90229,82,0
90229,83,0
90229,84,1
90229,85,0
90229,86,0
90229,87,0
90229,88,0
90229,89,0
90229,90,0
90229,91,0
90662,82,0
90662,83,0
90662,84,1
90662,85,0
90662,86,0
90662,87,0
90662,88,0
90662,89,0
90662,90,0
90662,91,0
98859,82,0
98859,83,0
98859,84,1
98859,85,0
98859,86,0
98859,87,0
98859,88,0
98859,89,0
98859,90,0
98859,91,0
94806,82,0
94806,83,0
94806,84,1
94806,85,0
94806,86,0
94806,87,0
94806,88,0
94806,89,0
94806,90,0
94806,91,0
91196,82,0
91196,83,0
91196,84,1
91196,85,0
91196,86,0
91196,87,0
91196,88,0
91196,89,0
91196,90,0
91196,91,0
92618,82,0
92618,83,0
92618,84,1
92618,85,0
92618,86,0
92618,87,0
92618,88,0
92618,89,0
92618,90,0
92618,91,0
97214,82,0
97214,83,0
97214,84,1
97214,85,0
97214,86,0
97214,87,0
97214,88,0
97214,89,0
97214,90,0
97214,91,0
92024,82,0
92024,83,0
92024,84,1
92024,85,0
92024,86,0
92024,87,0
92024,88,0
92024,89,0
92024,90,0
92024,91,0
92187,82,0
92187,83,0
92187,84,1
92187,85,0
92187,86,0
92187,87,0
92187,88,0
92187,89,0
92187,90,0
92187,91,0
93559,82,0
93559,83,0
93559,84,1
93559,85,0
93559,86,0
93559,87,0
93559,88,0
93559,89,0
93559,90,0
93559,91,0
89397,82,0
89397,83,0
89397,84,1
89397,85,0
89397,86,0
89397,87,0
89397,88,0
89397,89,0
89397,90,0
89397,91,0
92613,82,0
92613,83,0
92613,84,1
92613,85,0
92613,86,0
92613,87,0
92613,88,0
92613,89,0
92613,90,0
92613,91,0
93340,82,0
93340,83,0
93340,84,1
93340,85,0
93340,86,0
93340,87,0
93340,88,0
93340,89,0
93340,90,0
93340,91,0
96089,82,0
96089,83,0
96089,84,1
96089,85,0
96089,86,0
96089,87,0
96089,88,0
96089,89,0
96089,90,0
96089,91,0
96765,82,0
96765,83,0
96765,84,1
96765,85,0
96765,86,0
96765,87,0
96765,88,0
96765,89,0
96765,90,0
96765,91,0
89496,82,0
89496,83,0
89496,84,1
89496,85,0
89496,86,0
89496,87,0
89496,88,0
89496,89,0
89496,90,0
89496,91,0
90230,82,0
90230,83,0
90230,84,1
90230,85,0
90230,86,0
90230,87,0
90230,88,0
90230,89,0
90230,90,0
90230,91,0
95272,82,0
95272,83,0
95272,84,1
95272,85,0
95272,86,0
95272,87,0
95272,88,0
95272,89,0
95272,90,0
95272,91,0
98759,82,0
98759,83,0
98759,84,1
98759,85,0
98759,86,0
98759,87,0
98759,88,0
98759,89,0
98759,90,0
98759,91,0
91013,82,0
91013,83,0
91013,84,1
91013,85,0
91013,86,0
91013,87,0
91013,88,0
91013,89,0
91013,90,0
91013,91,0
91199,82,0
91199,83,0
91199,84,1
91199,85,0
91199,86,0
91199,87,0
91199,88,0
91199,89,0
91199,90,0
91199,91,0
89196,82,0
89196,83,0
89196,84,1
89196,85,0
89196,86,0
89196,87,0
89196,88,0
89196,89,0
89196,90,0
89196,91,0
89752,82,0
89752,83,0
89752,84,1
89752,85,0
89752,86,0
89752,87,0
89752,88,0
89752,89,0
89752,90,0
89752,91,0
90538,82,0
90538,83,0
90538,84,1
90538,85,0
90538,86,0
90538,87,0
90538,88,0
90538,89,0
90538,90,0
90538,91,0
91703,82,0
91703,83,0
91703,84,1
91703,85,0
91703,86,0
91703,87,0
91703,88,0
91703,89,0
91703,90,0
91703,91,0
89507,82,0
89507,83,0
89507,84,1
89507,85,0
89507,86,0
89507,87,0
89507,88,0
89507,89,0
89507,90,0
89507,91,0
90516,82,0
90516,83,0
90516,84,1
90516,85,0
90516,86,0
90516,87,0
90516,88,0
90516,89,0
90516,90,0
90516,91,0
94250,82,0
94250,83,0
94250,84,1
94250,85,0
94250,86,0
94250,87,0
94250,88,0
94250,89,0
94250,90,0
94250,91,0
96953,82,0
96953,83,0
96953,84,1
96953,85,0
96953,86,0
96953,87,0
96953,88,0
96953,89,0
96953,90,0
96953,91,0
94727,82,0
94727,83,0
94727,84,1
94727,85,0
94727,86,0
94727,87,0
94727,88,0
